participant_code,timestamp,interval,red,green,white,black
20190424_29_3,1528239793624,51,1,1,1,0
20190424_29_3,1528239793726,102,1,1,1,1
20190424_29_3,1528239794129,403,1,0,1,1
20190424_29_3,1528239794432,303,0,0,1,1
20190424_29_3,1528239794935,503,0,0,1,0
20190424_29_3,1528239794986,51,0,0,0,0
20190424_29_3,1528239795643,657,0,0,1,0
20190424_29_3,1528239796096,453,0,0,0,0
20190424_29_3,1528239796650,554,0,0,0,1
20190424_29_3,1528239796701,51,0,0,1,1
20190424_29_3,1528239797706,1005,0,0,0,1
20190424_29_3,1528239797759,53,1,0,0,1
20190424_29_3,1528239797861,102,1,0,1,1
20190424_29_3,1528239797963,102,0,0,1,1
20190424_29_3,1528239798166,203,0,0,1,0
20190424_29_3,1528239799170,1004,0,1,0,0
20190424_29_3,1528239799573,403,0,0,0,0
20190424_29_3,1528239799625,52,0,0,1,0
20190424_29_3,1528239799727,102,0,0,0,0
20190424_29_3,1528239800281,554,0,1,0,0
20190424_29_3,1528239801136,855,0,0,0,0
20190424_29_3,1528239801238,102,0,0,1,0
20190424_29_3,1528239801943,705,0,0,0,0
20190424_29_3,1528239802044,101,0,0,0,1
20190424_29_3,1528239802697,653,1,0,0,0
20190424_29_3,1528239803652,955,0,0,0,0
20190424_29_3,1528239804004,352,0,1,0,0
20190424_29_3,1528239804107,103,0,0,0,0
20190424_29_3,1528239805865,1758,0,0,0,1
20190424_29_3,1528239806669,804,1,0,0,1
20190424_29_3,1528239806771,102,1,0,1,1
20190424_29_3,1528239807023,252,1,1,1,1
20190424_29_3,1528239807877,854,1,1,0,1
20190424_29_3,1528239807929,52,1,0,0,1
20190424_29_3,1528239808081,152,1,0,1,1
20190424_29_3,1528239808683,602,1,0,1,0
20190424_29_3,1528239808835,152,1,1,1,0
20190424_29_3,1528239808886,51,1,1,0,0
20190424_29_3,1528239810392,1506,0,1,0,0
20190424_29_3,1528239810895,503,0,0,0,0
20190424_29_3,1528239813955,3060,0,1,0,0
20190424_29_3,1528239815612,1657,0,0,0,0
20190424_29_3,1528239816316,704,0,1,0,0
20190424_29_3,1528239818375,2059,0,0,0,0
20190424_29_3,1528239820884,2509,0,1,0,0
20190424_29_3,1528239820936,52,0,0,0,0
20190424_29_3,1528239823194,2258,0,1,0,0
20190424_29_3,1528239823497,303,1,1,0,0
20190424_29_3,1528239824804,1307,1,0,0,0
20190424_29_3,1528239824856,52,0,0,0,0
20190424_29_3,1528239833579,8723,0,1,0,0
20190424_29_3,1528239833630,51,0,1,1,0
20190424_29_3,1528239833733,103,1,1,1,0
20190424_29_3,1528239834837,1104,0,1,1,0
20190424_29_3,1528239835839,1002,1,1,1,0
20190424_29_3,1528239836091,252,0,1,1,0
20190424_29_3,1528239836142,51,0,0,0,0
20190424_29_3,1528239840754,4612,1,1,0,0
20190424_29_3,1528239840958,204,1,1,1,1
20190424_29_3,1528239841510,552,1,0,1,1
20190424_29_3,1528239841812,302,1,1,1,1
20190424_29_3,1528239841864,52,0,1,1,1
20190424_29_3,1528239841966,102,1,1,1,1
20190424_29_3,1528239843520,1554,1,0,1,0
20190424_29_3,1528239843572,52,0,0,1,0
20190424_29_3,1528239843623,51,0,0,0,0
20190424_29_3,1528239845931,2308,1,0,0,0
20190424_29_3,1528239846334,403,0,0,0,0
20190424_29_3,1528239847439,1105,1,0,0,0
20190424_29_3,1528239848644,1205,0,0,0,0
20190424_29_3,1528239852156,3512,0,0,1,0
20190424_29_3,1528239852207,51,1,0,1,0
20190424_29_3,1528239852411,204,0,0,1,0
20190424_29_3,1528239852766,355,1,0,1,0
20190424_29_3,1528239853520,754,1,0,0,0
